genres;title;release_date;id
['Casual', 'Indie'];RIP - Trilogy ;2007;2540
['Strategy'];X-COM: Terror From the Deep;1995;7650
['Action', 'Adventure'];Tomb Raider: Anniversary;2007;8000
['Action'];Devil May Cry® 3 Special Edition;2006;6550
['Action', 'Adventure'];Sam &amp, Max 101: Culture Shock;2006;8200
['Action'];Final DOOM;1996;2290
['Indie', 'RPG'];Vigil: Blood Bitterness ;2007;2570
['Action', 'Adventure'];Sam &amp, Max 102: Situation: Comedy;2006;8210
['Action'];Ultimate Doom;1995;2280
['Action'];Master Levels for Doom II;1995;9160
['Action'];DOOM II;1994;2300
['Action'];Wolfenstein 3D;1994;2270
['Action'];Return to Castle Wolfenstein;2001;9010
['Action'];QUAKE Mission Pack 1: Scourge of Armagon;1997;9040
['Action'];Spear of Destiny;1993;9000
['Action'];BloodRayne;2003;3810
['Action'];QUAKE Mission Pack 2: Dissolution of Eternity;2007;9030
['Action'];QUAKE;2007;2310
['Strategy'];Genesis Rising;2007;3230
['Strategy'];Warhammer® 40,000: Dawn of War® – Winter Assault;2006;9310
['Action', 'RPG'];BioShock ;2007;7670
['Strategy'];Warhammer® 40,000: Dawn of War® - Game of the Year Edition;2006;4570
['Strategy'];Warhammer® 40,000: Dawn of War® - Dark Crusade;2006;4580
['Strategy'];Rome: Total War  - Collection;2004;4760
['Strategy'];Rome: Total War  - Alexander;2006;4770
['Casual'];Mystery Case Files: Madame Fate®;2007;50970
['Action'];Grand Theft Auto;1998;12170
['Action'];Grand Theft Auto 2;1999;12180
['Action'];Manhunt;2004;12130
['Racing'];Midnight Club 2;2003;12160
['Action'];Max Payne 2: The Fall of Max Payne;2003;12150
['Action', 'Adventure'];Tomb Raider: Legend;2006;7000
['Action'];Max Payne;2001;12140
['Strategy'];Command &amp, Conquer: Red Alert 3;2008;17480
['Casual'];PuzzleQuest: Challenge of the Warlords;2007;12500
['RPG', 'Casual', 'Adventure'];Culpa Innata;2007;12310
['Strategy'];Prison Tycoon 3 : Lockdown;2007;12510
['Action', 'Adventure', 'Strategy'];Hunting Unlimited  2008;2007;12530
['Racing'];18 Wheels of Steel: American Long Haul;2007;12520
['Action'];Conflict: Denied Ops;2008;8100
['Action'];ARMA: Combat Operations;2007;2780
['Simulation'];Tycoon City: New York;2006;9730
['Action'];Desperados 2: Cooper's Revenge;2006;9710
['Action', 'Adventure'];Death to Spies;2007;9800
['Action'];Act of War: High Treason;2006;9760
['Simulation', 'Strategy'];RollerCoaster Tycoon® 3: Platinum;2006;2700
['Action'];Act of War: Direct Action;2005;2710
['Action'];Unreal 2: The Awakening;2003;13200
['Action'];Unreal Gold;1998;13250
['Casual', 'Indie'];Ninja Reflex: Steamworks Edition;2008;13000
['Action'];Tom Clancy's Splinter Cell®;2003;13560
['Action'];Far Cry®;2004;13520
['Action'];Unreal Tournament: Game of the Year Edition;2000;13240
['Action'];Tom Clancy's Rainbow Six® Vegas;2006;13540
['Simulation'];Silent Hunter® III;2005;15210
['Casual', 'Simulation'];Virtual Villagers - The Secret City;2008;16180
['Casual'];Mystery P.I.  - The Vegas Heist;2008;3520
['Casual'];Luxor;2008;15970
['Casual'];Reaxxion;2008;15950
['Casual'];Little Farm;2008;15960
['Casual'];7 Wonders II;2008;15900
['Casual'];Luxor Amun Rising;2005;15910
['Casual'];Luxor 3;2007;15930
['Simulation'];Petz® Horsez® 2;2007;15160
['Casual'];Luxor 2;2005;15920
['Action', 'Adventure'];Rayman Raving Rabbids ;2007;15080
['Simulation'];Silent Hunter®: Wolves of the Pacific;2007;15200
['Simulation'];IL-2 Sturmovik: 1946;2006;15320
['Simulation'];Silent Hunter®: Wolves of the Pacific U-Boat Missions;2008;15240
['Adventure'];Bone: Out From Boneville;2005;8310
['Racing'];Midnight Outlaw: 6 Hours to SunUp;2005;12600
['Adventure'];Bone: The Great Cow Race;2006;8320
['Racing'];Sprint Cars Road to Knoxville;2008;12590
sin genero;Dr. Daisy Pet Vet;2008;12580
['Simulation'];Ride! Carnival Tycoon;2007;12560
sin genero;Hot Dish;2008;12570
['Casual'];Mahjongg Investigations: Under Suspicion;2007;12540
['Adventure'];Dracula Origin;2008;11050
['Sports'];Beijing 2008  - The Official Video Game of the Olympic Games;2008;10520
['Adventure', 'RPG'];Sherlock Holmes - Nemesis;2008;11040
['Adventure', 'Indie'];Eternity's Child;2008;19500
['Simulation', 'Strategy'];Pacific Storm Allies;2007;11260
['Action', 'Indie'];Tank Universal;2008;19200
['Racing'];FlatOut: Ultimate Carnage;2008;12360
['Adventure'];Oddworld: Abe's Exoddus®;1998;15710
['Adventure'];Oddworld: Abe's Oddysee®;1997;15700
['Racing'];GTR Evolution Expansion Pack for RACE 07;2008;8660
['Strategy'];X-COM: Enforcer;2001;7770
['Strategy'];X-COM: Apocalypse;1997;7660
['Strategy'];X-COM: UFO Defense;1993;7760
['Action', 'RPG'];S.T.A.L.K.E.R.: Clear Sky;2008;20510
['Action'];Crysis Warhead®;2008;17330
['Action'];Crysis;2007;17300
['Strategy'];X-COM: Interceptor;1998;7730
['Action', 'RPG'];The Witcher: Enhanced Edition Director's Cut;2008;20900
['Indie'];Multiwinia;2008;1530
['Racing'];STCC - The Game 1 - Expansion Pack for RACE 07;2008;8690
['Strategy', 'Simulation'];Children of the Nile: Alexandria;2008;17120
['Strategy'];Sid Meier's Civilization IV: Colonization;2008;16810
['Action'];Tom Clancy's Rainbow Six® 3 Gold;2003;19830
['Action', 'Adventure'];LEGO Batman;2008;21000
['Simulation', 'Strategy'];City Life 2008;2008;4460
['RPG', 'Strategy'];Hinterland;2008;17140
['Action'];Brothers in Arms: Hell's Highway ;2008;15390
['Indie', 'Casual'];Gravitron 2;2008;21300
['Racing'];Xpand Rally Xtreme;2006;3050
['Strategy'];Heroes of Might &amp, Magic V: Hammers of Fate;2006;15380
['Action'];Brothers in Arms: Earned in Blood ;2005;19800
['Strategy'];Heroes of Might &amp, Magic V: Tribes of the East;2007;15370
['Strategy'];The Settlers®: Rise Of An Empire Gold Edition;2008;19930
['Casual'];Brain Spa;2007;15350
['Action'];The Sum of All Fears;2002;19810
['Casual'];Peggle  Nights;2008;3540
['Indie'];World of Goo;2008;22000
['Action', 'Simulation', 'Strategy'];X3: Terran Conflict;2008;2820
['Action'];Mare Nostrum;2008;1230
['Casual', 'Indie'];Spectraball;2008;18300
['Indie', 'Casual', 'Sports'];Galactic Bowling;2008;20200
['Action', 'Adventure'];Bully: Scholarship Edition;2008;12200
['Action'];Far Cry® 2: Fortune's Edition;2008;19900
['Action', 'Indie', 'Strategy'];Space Trader: Merchant Marine;2008;11240
['Simulation'];PRR Wagon Pack 01;2009;256522
['Simulation'];"Class 421 London South East ""Jaffa Cake""";2009;275144
['Simulation'];ATSF Wagon Pack 01;2009;256521
['Simulation'];GP20 Union Pacific Add-on Livery;2009;222569
['Simulation'];UK Van Wagon Pack;2009;256535
['Simulation'];CSX SD70MAC Add-on Livery;2009;256611
['Simulation'];CSX ES44AC Add-on Livery;2009;256576
['Action'];Saints Row 2;2009;9480
['Action'];Dead Space;2008;17470
['RPG'];Rise of the Argonauts;2008;12770
['Action', 'Adventure'];Mirror's Edge ;2009;17410
['Indie', 'Strategy'];Defense Grid: The Awakening;2008;18500
['Action'];F.E.A.R. 2: Project Origin;2009;16450
['Strategy', 'Indie'];Harvest: Massive Encounter;2008;15400
['Indie', 'Strategy'];Mayhem Intergalactic;2007;18600
['Action', 'Indie'];Larva Mortus;2009;11340
['Strategy'];Knights of Honor;2005;25830
['Action', 'Adventure', 'Strategy'];Ceville;2009;23460
['Strategy'];Empire: Total War  - Special Forces Units &amp, Bonus Content;2009;10600
['Action'];Watchmen: The End is Nigh;2009;21010
['Action', 'Adventure', 'Indie'];Penumbra Overture;2007;22180
['Action'];Unreal Tournament 3 Black;2007;13210
['RPG'];Drakensang;2009;12640
['Casual', 'Strategy'];Age of Booty ;2009;21600
['Indie', 'Simulation'];The Graveyard;2008;27020
['Racing'];Burnout Paradise: The Ultimate Box;2009;24740
['Action'];Zombie Master;2009;90047
['Action', 'Indie'];The Maw;2009;26000
['Action', 'Indie'];The Maw: River Redirect;2009;26006
['Action', 'Indie'];The Maw: Brute Force;2009;26005
['Casual', 'Indie'];Obulis;2009;11330
['Indie'];Space Giraffe;2009;27800
['Simulation', 'Strategy'];Codename: Panzers - Cold War;2009;9850
['Casual'];Escape Rosecliff Island;2009;3600
['RPG', 'Massively Multiplayer'];Guild Wars Nightfall®;2006;29580
['RPG', 'Massively Multiplayer'];Guild Wars® Game of the Year Edition;2005;29540
['RPG', 'Massively Multiplayer'];Guild Wars Factions®;2006;29560
['Massively Multiplayer', 'RPG'];Guild Wars Trilogy;2008;29570
['Casual'];Puzzle Kingdoms;2009;23700
['Casual'];Samantha Swift and the Golden Touch;2009;16060
['RPG'];Two Worlds Epic Edition;2009;1930
['Strategy'];Helldorado;2009;18470
['Action', 'Adventure', 'RPG'];X-Blades;2009;7510
['Action', 'Indie'];Zeno Clash;2009;22200
['Indie'];The Maw: Speeder Lane;2009;26007
['RPG', 'Strategy'];King's Bounty: The Legend;2008;25900
['Casual', 'Simulation'];Virtual Families;2009;16200
['Racing'];Death Track®: Resurrection;2009;7840
['RPG', 'Strategy'];Freedom Force vs. the Third Reich;2005;8890
['RPG', 'Strategy'];Freedom Force;2002;8880
['Indie', 'Simulation', 'Strategy'];Light of Altair;2009;34500
['Action', 'Simulation'];Darkest Hour: Europe '44-'45;2009;1280
['Action', 'Adventure'];Prototype ;2009;10150
['Adventure', 'Indie'];Blueberry Garden;2009;29160
['Strategy'];Port Royale 2;2004;12470
sin genero;Call of Cthulhu®: Dark Corners of the Earth;2006;22340
['RPG'];The Elder Scrolls IV: Oblivion® Game of the Year Edition;2007;22330
['RPG'];The Elder Scrolls III: Morrowind® Game of the Year Edition;2002;22320
sin genero;The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe;2009;900883
['Adventure'];Ankh 2: Heart of Osiris;2007;12440
['Simulation'];Armored Fist 3;1999;32710
['Simulation'];MiG-29 Fulcrum;1998;32740
['Strategy'];BC Kings;2008;12460
['Action'];Call of Juarez®: Bound in Blood;2009;21980
['Adventure'];Nancy Drew®: Legend of the Crystal Skull;2007;31860
['Adventure'];Nancy Drew®: The Creature of Kapu Cave;2006;31900
['Adventure'];Nancy Drew®: The Phantom of Venice;2008;31920
['Adventure'];Nancy Drew®: The White Wolf of Icicle Creek;2007;31930
['Casual', 'Indie'];BRAINPIPE: A Plunge to Unhumanity;2008;35800
['Simulation', 'Sports'];Hunting Unlimited 2010;2009;12690
['Adventure'];Tales of Monkey Island Complete Pack;2009;31170
['Action'];Street Fighter® IV;2009;21660
['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy'];Thrillville®: Off the Rails ;2007;6080
['Adventure'];Indiana Jones® and the Fate of Atlantis ;1992;6010
['Action'];Armed and Dangerous®;2003;6090
['Action'];Star Wars: Battlefront 2 (Classic, 2005);2005;6060
['Adventure'];Indiana Jones® and the Last Crusade ;1989;32310
['Action', 'Adventure'];LEGO® Indiana Jones : The Original Adventures;2008;32330
['Adventure'];The Secret of Monkey Island: Special Edition;2009;32360
['Strategy'];Warfare;2008;35300
['Action', 'Racing'];Clutch;2009;35310
['Adventure'];Nancy Drew®: Ransom of the Seven Ships;2009;31980
['Adventure'];Nancy Drew®: Ransom of the Seven Ships Demo;2009;31990
['Sports'];3D Ultra  Minigolf Adventures;2006;10140
['Adventure'];King's Quest  Collection;2006;10100
['Action'];TimeShift ;2007;10130
['Adventure'];Space Quest  Collection;2006;10110
['Action'];Killing Floor Outbreak Character Pack;2009;1256
['Action', 'Casual'];Aces of the Galaxy ;2008;10120
['Simulation', 'Strategy'];Tropico Reloaded;2009;33520
['Casual'];Mystery P.I. - Lost in Los Angeles;2009;3610
['Action'];Bionic Commando: Rearmed;2008;21680
['Action', 'Adventure'];Bionic Commando;2009;21670
['Action'];Watchmen: The End is Nigh Part 2;2009;21030
['Action', 'Indie'];Foreign Legion: Buckets of Blood;2009;36000
['Adventure', 'RPG'];STAR WARS  - Knights of the Old Republic ;2003;32370
['Indie', 'Casual'];Osmos;2009;29180
['RPG'];Fallout 2: A Post Nuclear Role Playing Game;1998;38410
['Strategy'];Fallout Tactics: Brotherhood of Steel;2001;38420
['Action'];Kingpin — Life of Crime;1999;38430
sin genero;Sacrifice;2000;38440
['Action', 'Adventure'];Mini Ninjas Demo;2009;35050
['Adventure'];Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay;2009;31180
['Casual'];Jewel Quest Pack;2009;37960
['Casual'];Mahjong Quest Collection;2009;38000
['Adventure', 'Indie'];Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack;2009;37400
['Action'];Tom Clancy's Splinter Cell Chaos Theory®;2005;13570
['Action', 'Racing'];Crash Time 2;2009;11390
['Strategy'];XIII Century – Gold Edition;2009;34420
['Simulation'];World of Zoo;2009;43100
['Simulation'];18 Wheels of Steel: Extreme Trucker;2009;33730
['Action', 'Adventure'];Mini Ninjas;2009;35000
['Casual'];Freeze Tag Fun Pack #2;2009;39392
['Casual'];Freeze Tag Fun Pack #1;1999;39391
['Adventure', 'Casual', 'Indie'];Windosill;2009;37600
['Simulation'];Train Simulator: Colton &amp, Northern Route Add-On;2009;24029
['Adventure', 'Casual'];Midnight Mysteries;2009;32140
['Adventure'];Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan;2009;31190
['Action'];Joint Operations: Combined Arms Gold;2009;32770
['Simulation'];Train Simulator: US Loco &amp, Asset Pack;2009;208306
['Simulation'];DinerTown Tycoon;2009;37300
['Simulation'];Train Simulator: European Loco &amp, Asset Pack;2009;208300
['RPG'];Risen;2009;40300
['Casual'];Flora's Fruit Farm;2009;35070
['Strategy'];Empire: Total War  - The Warpath Campaign;2009;10606
['Adventure', 'Indie'];Machinarium;2009;40700
['Action'];Medal of Honor: Airborne;2007;24840
['Racing'];Need for Speed: Shift;2009;24870
['RPG'];Torchlight;2009;41500
['Strategy'];Command &amp, Conquer: Red Alert 3 - Uprising;2009;24800
['Strategy'];The Stronghold Collection;2009;901735
['Strategy'];East India Company: Privateer;2009;42800
['Action'];Painkiller: Resurrection;2009;39560
['RPG', 'Strategy'];SpellForce 2 - Anniversary Edition;2009;39550
['Adventure'];Secret Files: Tunguska;2009;40330
['Strategy'];Rush for Berlin Gold;2009;40320
['Adventure'];Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood;2009;31200
['Strategy'];Men of War: Red Tide;2009;3130
['Action', 'Indie'];Hammerfight;2009;41100
['Action', 'RPG'];SpellForce - Platinum Edition;2009;39540
['Strategy'];Massive Assault: Phantom Renaissance;2005;34640
['Strategy'];Massive Assault;2003;34630
sin genero;Nancy Drew® Dossier: Resorting to Danger!;2009;42200
['Action', 'Indie'];Serious Sam HD: The First Encounter;2009;41000
['Adventure'];Secret Files 2: Puritas Cordis;2009;40340
['RPG'];Dragon Age: Origins;2009;17450
['Action', 'RPG', 'Indie'];Aztaka;2009;37100
['Indie', 'Casual'];Magnetis;2009;37500
['Strategy'];For The Glory: A Europa Universalis Game;2009;42810
['Action'];Call of Duty®: Modern Warfare® 2;2009;10180
['Adventure'];LEGO® Star Wars  - The Complete Saga;2009;32440
['RPG'];Overlord ;2007;11450
['RPG'];Overlord : Raising Hell;2008;12710
['Strategy'];Command &amp, Conquer 3: Tiberium Wars;2007;24790
['Indie', 'Casual'];Yumsters 2: Around the World;2008;29120
['Strategy'];Command &amp, Conquer 3: Kane's Wrath;2009;24810
['Indie', 'Simulation', 'Strategy'];Gratuitous Space Battles;2009;41800
['Simulation'];Wings of Prey;2009;45300
['Action', 'Adventure', 'RPG'];The Bard's Tale;2005;41900
['Action'];Defence Alliance 2;2009;35420
['Action'];STAR WARS  - The Force Unleashed  Ultimate Sith Edition;2009;32430
sin genero;Europa Universalis III: Heir to the Throne;2009;25806
['RPG'];Fallout 3: Game of the Year Edition;2009;22370
['Strategy', 'Indie', 'Simulation'];Gratuitous Space Battles: The Tribe;2009;41802
['Simulation'];Build-A-Lot;2007;38080
['Simulation'];Build-A-Lot 2: Town of the Year;2008;38090
['Simulation'];Build-A-Lot 3: Passport to Europe;2009;38100
['Casual', 'Simulation'];Coconut Queen;2009;38070
['Casual'];Roogoo;2009;38210
['Action', 'Adventure'];Devil May Cry 4;2008;45700
['Action', 'Indie', 'RPG'];Avencast: Rise of the Mage;2010;46410
['Simulation'];Build-A-Lot 4: Power Source;2009;38110
['Action', 'Free to Play', 'Indie'];Pirates, Vikings, and Knights II;2010;17570
['Casual'];Farm Frenzy 2;2008;38130
['Casual'];Farm Frenzy 3: American Pie;2010;38160
['Casual'];Farm Frenzy 3;2009;38150
['Casual'];Farm Frenzy;2007;38120
['Casual'];Farm Frenzy: Pizza Party;2009;38140
['Casual'];Cake Mania Main Street ;2010;36300
['Strategy', 'Casual'];Westward® IV: All Aboard;2010;36310
['Adventure', 'Casual'];Iron Roses;2010;36320
['Strategy'];UFO: Extraterrestrials Gold;2010;37030
['Adventure'];LEGO® Indiana Jones  2: The Adventure Continues;2010;32450
['Sports'];Vancouver 2010  - The Official Video Game of the Olympic Winter Games;2010;34180
['Action', 'Indie', 'Racing'];Super Laser  Racer;2010;44100
['Strategy'];Hearts of Iron III: Soviet Infantry Pack DLC;2010;25960
['Action'];NecroVisioN: Lost Company;2010;46250
['Casual'];Cradle of Persia;2007;38180
['Action'];Aliens vs. Predator Swarm Map Pack;2010;10695
['Action', 'Indie'];Serious Sam Classic: The First Encounter;2001;41050
['Simulation'];Train Simulator: Fort Kent to Eagle Lake Route Add-On;2010;24055
['Action', 'RPG'];Mount &amp, Blade: Warband;2010;48700
['Action'];Coniclysm;2010;39900
['Action', 'Indie'];Plain Sight;2010;49900
['Action'];Lead and Gold: Gangs of the Wild West;2010;42120
['Action'];Grand Theft Auto: Episodes from Liberty City;2010;12220
['Action', 'Adventure'];Dark Void  Zero;2010;45730
['Indie'];Fortix;2010;45400
['Action', 'Casual', 'Indie'];Beat Hazard;2010;49600
['Adventure'];Sam &amp, Max: The Devil’s Playhouse;2010;901399
['Simulation', 'Strategy'];M.U.D. TV;2010;43500
['Simulation'];Wings of Luftwaffe Add-on;2010;45302
['Adventure', 'Indie'];The Misadventures of P.B. Winterbottom;2010;40930
['Action'];AquaNox 2: Revelation;2003;39640
['Action'];AquaNox;2001;39630
['Casual', 'Indie'];Fluttabyes;2010;23150
['Casual'];Hidden Expedition: Titanic;2006;50940
['Casual', 'Indie'];Hidden Expedition: Amazon;2008;50920
['Strategy'];Napoleon: Total War  - Coalition Battle Pack;2010;34178
['Casual'];Fitness Dash ;2008;37340
['Casual'];Gemini Lost ;2009;37390
['Casual'];DinerTown Detective Agency ;2009;37310
['Casual'];Mahjong Roadshow ;2007;37360
['Casual'];Hotel Dash  Suite Success ;2009;49000
['Casual'];Nightshift Legacy: The Jaguar's Eye ;2010;37330
['Casual'];The Nightshift Code ;2008;37320
['Casual'];TriJinx: A Kristine Kross Mystery ;2007;37370
['Casual'];Valerie Porter and the Scarlet Scandal ;2009;37380
['Action', 'Adventure', 'Casual'];Biozone;2010;19080
['Action', 'Indie'];Iron Grip: Warlord;2008;31700
['Action', 'Adventure'];Rocket Knight;2010;19030
['Indie'];Max and the Magic Marker;2010;50820
['Action', 'Indie'];Flight of the Icarus;2010;49800
['Casual'];Puzzler World;2010;33650
['Action', 'Adventure'];Prince of Persia: The Forgotten Sands  Digital Deluxe Edition;2010;901478
['Casual', 'Indie'];Ziro;2010;33660
['Action'];Altered Beast ;2010;34281
['Action'];Comix Zone ;2010;34272
['Action', 'Adventure', 'Casual', 'RPG'];SEGA Mega Drive and Genesis Classics;2010;34270
['Action'];Golden Axe ;2010;34276
['Action'];Ecco the Dolphin ;2010;34274
['Strategy'];Gain Ground ;2010;34275
['Action'];Shinobi  III: Return of the Ninja Master;2010;34277
['Action'];Crack Down ;2010;34273
['Action'];VectorMan ;2010;34280
sin genero;Sonic 3D Blast ;2010;34278
['Action'];Shadow Dancer ;2010;34282
['Action'];Space Harrier  II;2010;34279
['Action', 'RPG'];Alpha Protocol ;2010;34010
['Action'];Alien Breed: Impact;2010;22610
['RPG'];Fallout 3 - Point Lookout;2010;22440
['Strategy', 'Indie'];Defense Grid: Resurgence Map Pack 1;2010;18508
['RPG'];Fallout 3 - Mothership Zeta;2010;22430
['RPG'];Fallout 3 - Broken Steel;2010;22410
['RPG'];Fallout 3 - The Pitt;2010;22420
['Action'];Alien Swarm;2010;630
['RPG'];Fallout 3 - Operation Anchorage;2010;22400
['Simulation', 'Strategy'];SimCity  4 Deluxe Edition;2003;24780
['Strategy', 'RPG'];Disciples III - Renaissance Steam Special Edition;2010;33670
['Casual', 'Indie'];Tidalis;2010;40420
['Action', 'Casual', 'Indie'];Razor2: Hidden Skies;2010;34920
['Strategy'];The Settlers 7: Uncharted Land Map Pack;2010;48136
['RPG'];Dimensity;2008;46720
['Action'];Kane &amp, Lynch 2: Dog Days;2010;28000
['Simulation', 'Strategy'];The Guild II Renaissance;2010;39680
['Strategy'];Hearts of Iron III DLC: German II Spritepack;2010;25962
['Simulation'];Trainz Simulator DLC: Blue Comet;2010;24634
['Strategy'];Fantasy Wars;2010;63900
['Action'];Mafia II;2011;50130
['Simulation'];Train Simulator: Network Southeast Class 47 Loco Add-On;2010;24075
['RPG', 'Casual'];Puzzle Quest 2;2010;47540
['Action'];Burn Zombie Burn!;2010;50510
['Indie'];Madballs B*D*I Clan Skins;2010;25760
['Indie'];Madballs Scorched Evolution Skin Rollup;2010;25763
['Indie'];Madballs BDI Evolution Skin Rollup;2010;25762
['Indie'];Madballs Holiday Skin Rollup;2010;25764
['Strategy'];Victoria I Complete;2010;42980
['Simulation'];Ship Simulator Extremes;2010;48800
['Strategy'];Worms Reloaded;2010;22600
['Indie', 'Simulation', 'Strategy'];Making History II: The War of the World;2010;46770
['Action', 'Simulation', 'Strategy'];Arma 2: British Armed Forces;2010;65700
['Strategy'];Victoria II;2010;42960
sin genero;Booster Trooper Demo;2010;27930
['Indie'];Madballs Scorched Clan Skins;2010;25761
['Action'];Kane &amp, Lynch 2: The Doggie Bag;2010;28010
['Action'];Kane &amp, Lynch 2: Multiplayer Masks Pack;2010;28012
['Simulation'];Trainz: Classic Cabon City;2010;24640
['Action'];Kane &amp, Lynch 2: Alliance Weapon Pack;2010;28011
['Strategy'];Cossacks: Back to War;2002;4850
['Adventure'];Broken Sword: Director's Cut;2010;57640
['Casual'];Chime;2010;62100
['Action'];Mafia II DLC: Jimmy's Vendetta;2010;50145
['Action'];Sniper: Ghost Warrior - Map Pack;2010;34841
['Action', 'Indie'];VVVVVV;2010;70300
['Strategy'];The Settlers 7: Conquest - The Empire Expansion DLC;2010;48137
['Action', 'Adventure', 'Indie'];Amnesia: The Dark Descent;2010;57300
['RPG', 'Indie'];Recettear: An Item Shop's Tale;2010;70400
['Action', 'Casual', 'Indie'];Swarm Arena;2010;46600
